OTU_ID	E1	E2	E28	E3	E30	E7	E8	E9
otu588	44	0	0	37	0	0	0	0
otu589	0	0	0	0	0	0	106	77
otu590	0	0	0	0	80	62	41	47
otu591	48	0	32	0	0	24	26	47
otu592	46	0	36	49	36	25	0	34
otu593	0	68	36	64	0	0	0	0
otu594	56	53	0	0	0	0	0	0
otu595	80	56	63	0	0	31	62	18
otu596	43	0	56	74	27	0	0	0
otu597	0	0	0	0	0	82	120	74
otu598	45	51	42	52	0	0	0	0
otu599	57	0	0	0	0	26	0	0
otu600	0	0	0	0	0	70	0	57
otu601	51	56	83	29	0	0	0	0
otu602	0	36	42	41	47	0	0	0
otu603	36	52	55	39	0	0	40	0
otu604	78	65	74	0	0	0	0	22
otu605	65	0	0	59	0	0	0	0
otu606	70	55	0	0	18	0	0	0
otu607	74	69	55	0	0	0	0	0
otu608	26	55	25	31	0	0	33	31
otu609	53	0	53	72	0	0	0	0
otu610	40	0	52	49	21	26	0	0
otu611	24	31	0	0	71	0	82	53
otu612	38	15	0	34	27	0	41	24
otu613	0	47	78	57	54	0	0	0
otu614	75	57	0	49	0	0	0	22
otu615	13	0	25	0	56	51	24	42
otu616	0	0	45	0	82	70	56	49
otu617	58	47	52	64	0	0	31	21
otu618	38	53	0	51	20	12	17	22
otu619	65	36	0	56	0	23	17	22
otu620	37	59	0	56	78	0	0	68
otu621	108	0	87	36	0	0	0	0
otu622	0	0	0	0	107	40	27	35
otu623	0	0	0	0	0	200	85	125
otu624	31	0	0	0	0	77	83	98
otu625	0	0	0	0	0	108	93	99
otu626	24	45	39	41	0	0	0	0
otu627	0	0	0	0	0	154	53	125
otu628	57	44	41	64	32	0	0	0
otu629	40	51	43	56	0	0	0	0
otu630	0	0	0	0	30	28	41	125
otu631	0	48	0	34	47	34	21	30
otu632	45	0	39	0	0	42	0	43
otu633	58	33	39	0	0	0	0	18
otu634	0	49	47	84	0	0	0	0
otu635	0	28	36	19	83	33	35	55
otu636	0	0	0	0	0	111	92	96
otu637	0	0	0	14	11	26	17	16
otu638	36	0	44	0	61	40	33	29
otu639	0	0	0	24	89	60	0	79
otu640	0	0	0	27	0	89	54	79
otu641	0	0	22	0	65	36	45	43
otu642	0	0	0	9	0	0	47	58
otu643	54	31	53	56	0	0	0	0
otu644	0	0	57	0	33	67	0	0
otu645	0	0	0	0	0	0	0	0
otu646	26	29	15	17	63	54	57	47
otu647	0	0	0	0	90	25	34	36
otu648	0	58	20	0	0	69	52	59
otu649	59	56	0	18	24	0	0	0
otu650	0	0	42	49	62	0	0	0
otu651	42	0	0	0	0	64	53	50
otu652	0	0	63	34	27	0	0	0
otu653	0	0	0	0	98	0	46	53
otu654	0	26	39	56	0	0	0	0
otu655	0	0	0	22	73	28	61	51
otu656	59	29	48	51	0	0	0	0
otu657	0	28	0	0	0	99	90	83
otu658	43	0	89	87	0	34	0	36
otu659	24	0	0	0	0	0	0	0
otu660	46	0	64	43	0	0	0	0
otu661	22	0	34	17	78	54	99	53
otu662	56	53	49	0	11	14	0	0
otu663	32	0	0	0	0	128	72	63
otu664	0	0	0	0	100	0	60	64
otu665	26	16	0	23	0	50	69	60
otu666	54	62	0	0	40	54	29	40
otu667	74	50	56	49	0	37	0	0
otu668	38	0	0	45	41	0	45	0
otu669	0	25	0	38	0	23	19	18
otu670	44	63	54	0	0	27	0	0
otu671	0	0	0	0	0	18	50	54
otu672	0	82	72	0	0	0	0	0
otu673	52	48	47	33	18	20	0	19
otu674	0	0	0	64	0	0	0	0
otu675	0	672	0	0	0	0	0	0
otu676	50	0	50	0	0	0	0	0
otu677	0	0	83	47	0	35	0	0
otu678	63	50	43	27	0	0	0	11
otu679	47	55	10	0	0	0	0	0
otu680	0	0	0	0	0	0	0	0
otu681	0	48	38	0	80	48	61	100
otu682	46	30	0	33	0	0	21	0
otu683	0	0	0	28	21	52	68	70
otu684	0	68	55	0	177	27	0	0
otu685	95	0	84	0	0	78	0	0
otu686	53	0	0	37	26	22	0	26
otu687	60	65	42	90	0	0	0	37
otu688	0	47	36	48	28	0	0	0
otu689	41	18	0	48	0	0	0	0
